,School Resource Package Allocations,,,,,,,,,Student Enrolments – First term census ,,,,Student Attendance,
,2014 Students 1st Term FTE,2015 Students 1st Term FTE,2014 Final FFM $,2015 Final FFM $,2014 Final SRP $,2015 Final SRP $,2013 OENI,2014 OENI,ARIA+,2014 Headcount,2014 FTE,2015 Headcount,2015 FTE,2013 (%),2014 (%)
Margate Primary School,433.8,454.4,428527,469246,805508,818845,0.3452,0.343,1.95,459,433.8,480,454.4,94,93
Miandetta Primary School,321.4,322.2,366755,373277,551583,571821,0.5134,0.5063,2.39,341,321.4,335,322.2,94,93
Mole Creek Primary School,62,76,105974,131149,167224,233289,0.5882,0.556,3.73,66,62,80,76,90,94
Molesworth Primary School,138,152,167658,191412,271048,311143,0.5135,0.4923,2.1,146,138,160,152,92,91
Montagu Bay Primary School,308,321,297711,320287,485545,565754,0.3074,0.2699,1.83,326,308,337,321,94,94
Montello Primary School,300.6,284.8,436011,426886,771009,861216,0.6784,0.6341,2.72,318,300.6,298,284.8,91,91
Montrose Bay High School,677.2,630,961197,944670,1404165,1440909,0.642,0.6449,1.83,678,677.2,630,630,86,83
Moonah Primary School,272.2,259,375229,378734,731125,647948,0.6318,0.6158,1.83,289,272.2,277,259,91,91
Mount Nelson Primary School,146.1,171.4,145914,177070,239032,292533,0.2208,0.1581,1.83,155,146.1,181,171.4,94,94
Mount Stuart Primary School,343.4,340.6,326155,329944,538830,537360,0.2154,0.216,1.83,363,343.4,355,340.6,94,94
Mountain Heights School,211.4,208.3,424709,445269,1095289,1012560,0.7034,0.711,6.16,215,211.4,209,208.3,84,84
Mowbray Heights Primary School,465.4,468,654665,698823,1098213,1155986,0.6589,0.6427,1.83,489,465.4,496,468,93,93
Natone Primary School,44,33.6,74010,60825,125175,108239,0.5962,0.6014,3.14,46,44,34,33.6,92,92
New Norfolk High School,285.6,280,422468,451268,819648,849210,0.6679,0.6918,1.94,286,285.6,280,280,82,79
New Norfolk Primary School,225.2,185.6,325885,288569,593407,520932,0.682,0.6812,1.94,235,225.2,194,185.6,91,89
New Town High School,783.7,777.2,789895,829629,1206108,1223194,0.4571,0.4639,1.83,785,783.7,778,777.2,89,88
New Town Primary School,305,316.4,302285,340817,526400,601460,0.4116,0.4323,1.83,319,305,334,316.4,93,93
Newstead College,900.4,824.3,994592,992044,1940712,2114965,0.5543,0.5695,1.83,990,900.4,908,824.3,,
Nixon Street Primary School,496,479,545205,547546,942708,910954,0.4989,0.4995,2.37,522,496,501,479,93,93
Norwood Primary School,437.4,452.2,431610,477623,745498,781283,0.3856,0.3759,1.83,461,437.4,482,452.2,94,94
Oatlands District High School,299.3,292.6,465095,486780,1066888,991333,0.5806,0.5856,4.55,308,299.3,303,292.6,90,89
Ogilvie High School,815.6,805.6,815924,871335,1384260,1347274,0.4545,0.4765,1.83,816,815.6,806,805.6,88,87
Orford Primary School,83.8,78,127733,126240,220034,223838,0.4903,0.4929,4.29,89,83.8,82,78,93,95
Ouse District School,29,30.8,75499,83446,167343,172095,0.5278,0.5673,4.38,31,29,34,30.8,92,91
Parklands High School,450,403,621815,586316,907555,1012355,0.6244,0.6095,2.72,450,450,403,403,85,85
Penguin District School,625.4,635.2,688767,742323,1265071,1326910,0.4396,0.4523,2.76,645,625.4,654,635.2,,
Perth Primary School,254.4,250.2,272179,291294,435912,486339,0.4583,0.4552,2.13,266,254.4,267,250.2,94,94
Port Dalrymple School,486.5,509.2,814147,900050,1438663,1562186,0.7421,0.752,3.01,506,486.5,522,509.2,87,89
Port Sorell Primary School,272,312,306911,366580,437524,504965,0.4401,0.4473,2.63,288,272,328,312,93,93
Princes Street Primary School,329.4,344.4,313280,334197,486167,554354,0.1215,0.1165,1.83,349,329.4,360,344.4,93,93
Prospect High School,456,446.6,495880,509903,935820,908506,0.5084,0.493,1.83,457,456,447,446.6,88,87
Punchbowl Primary School,296.6,317.4,292471,317245,486081,520789,0.3481,0.3517,1.83,315,296.6,331,317.4,95,95
Queechy High School,655.3,682,736183,819595,1340663,1238325,0.5274,0.5328,1.83,657,655.3,682,682,86,86
Ravenswood Heights Primary School,279.2,285.4,442968,468645,1076390,1060159,0.8178,0.8198,1.83,296,279.2,299,285.4,92,90
Redpa Primary School,26.8,25.2,70293,67238,121831,113092,0.4022,0.3269,6.82,30,26.8,26,25.2,91,90
Reece High School,537,480,668783,627363,1224995,1234558,0.5769,0.5824,2.37,537,537,480,480,88,87
Riana Primary School,91.6,91.8,128385,134997,220425,243839,0.4948,0.5089,3.28,98,91.6,97,91.8,95,93
Richmond Primary School,217.4,230.2,233201,252174,433271,451972,0.3849,0.3801,2.4,231,217.4,241,230.2,94,94
Ridgley Primary School,153,130.8,217406,196191,334514,278241,0.5802,0.5765,3.17,159,153,135,130.8,94,94
Ringarooma Primary School,78,78.2,120289,127965,195234,210965,0.5,0.5,4.22,82,78,83,78.2,95,94
Risdon Vale Primary School,159.2,154.2,258943,260666,653667,620063,0.7968,0.7804,1.83,170,159.2,163,154.2,92,90
Riverside High School,790.4,763,719400,729157,967408,960698,0.3529,0.3504,1.83,791,790.4,763,763,90,90
Riverside Primary School,639.6,650.6,619065,653912,942126,997950,0.3709,0.3627,1.83,672,639.6,679,650.6,93,93
Rokeby High School,160.5,168,262331,289380,660780,584288,0.7466,0.7946,1.83,162,160.5,168,168,79,74
Rokeby Primary School,215.8,237.8,337587,381187,707964,784798,0.7961,0.7903,1.83,227,215.8,245,237.8,91,91
Romaine Park Primary School,392.2,367,544979,545394,1113860,1065737,0.6566,0.6587,2.72,410,392.2,389,367,92,92
Rose Bay High School,735.8,745,711549,780277,1028981,1079336,0.4275,0.4553,1.83,737,735.8,745,745,89,88
Rosebery District High School,103,90.8,224436,208069,604603,566085,0.7957,0.8086,5.25,105,103,92,90.8,86,87
Rosetta Primary School,352.2,383.4,396762,463345,813720,886875,0.5023,0.5138,1.83,375,352.2,409,383.4,92,92
Rosny College,1203.8,1154.5,1088142,1118007,2045064,2144404,0.435,0.454,1.83,1285,1203.8,1202,1154.5,,
Sandy Bay Infant School,56.6,65.6,70320,83530,130098,146137,0.1927,0.1875,1.83,65,56.6,74,65.6,92,93
Sassafras Primary School,52.4,53.6,72516,84753,132277,186003,0.5156,0.5357,2.75,54,52.4,58,53.6,92,94
